ID,Block,Set,Choice,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12
7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0
7,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7,7,1,0,0,0,0,0,0,0,0,0,0,-1,0,0
7,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0
7,7,2,0,0,-1,0,0,0,0,0,0,0,0,0,0
7,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0
7,7,3,1,0,0,0,0,0,0,0,1,0,0,0,0
7,7,3,0,0,0,0,0,0,0,0,0,-1,0,0,0
7,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0
7,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0
7,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0
7,7,4,0,0,0,0,0,-1,0,0,0,0,0,0,0
7,7,4,1,0,0,0,1,0,0,0,0,0,0,0,0
7,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0
7,7,5,0,0,0,0,0,0,0,0,0,0,0,-1,0
7,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0
7,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0
7,7,6,0,0,0,0,0,-1,0,0,0,0,0,0,0
7,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0
7,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0
7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0
9,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,9,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0
9,9,2,0,0,-1,0,0,0,0,0,0,0,0,0,0
9,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0
9,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0
9,9,2,1,0,0,0,0,0,0,0,0,0,0,1,0
9,9,3,1,0,0,0,0,0,0,0,0,0,1,0,0
9,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0
9,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0
9,9,3,0,0,0,0,0,-1,0,0,0,0,0,0,0
9,9,4,1,0,0,0,0,0,0,0,1,0,0,0,0
9,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0
9,9,4,0,0,0,0,-1,0,0,0,0,0,0,0,0
9,9,4,0,0,0,0,0,0,0,0,0,1,0,0,0
9,9,5,0,0,0,0,0,0,-1,0,0,0,0,0,0
9,9,5,1,0,0,1,0,0,0,0,0,0,0,0,0
9,9,5,0,0,0,0,0,0,0,0,0,0,1,0,0
9,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0
9,9,6,0,0,0,0,0,0,0,0,0,0,1,0,0
9,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0
9,9,6,0,0,0,0,0,0,0,0,-1,0,0,0,0
9,9,6,1,0,0,0,0,0,0,1,0,0,0,0,0
13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13,3,1,0,0,0,0,0,0,0,-1,0,0,0,0,0
13,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
13,3,2,0,0,0,0,0,0,-1,0,0,0,0,0,0
13,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
13,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
13,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
13,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0
13,3,3,0,0,0,0,0,0,-1,0,0,0,0,0,0
13,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0
13,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0
13,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0
13,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0
13,3,4,0,0,0,0,0,0,0,0,0,0,-1,0,0
13,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0
13,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0
13,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1
13,3,5,0,0,0,0,0,0,-1,0,0,0,0,0,0
13,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0
13,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0
13,3,6,0,0,0,0,0,0,0,0,-1,0,0,0,0
13,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0
19,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19,9,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
19,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0
19,9,2,0,0,-1,0,0,0,0,0,0,0,0,0,0
19,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0
19,9,2,1,0,0,1,0,0,0,0,0,0,0,0,0
19,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0
19,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0
19,9,3,1,0,0,0,0,0,1,0,0,0,0,0,0
19,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0
19,9,3,0,0,0,0,0,-1,0,0,0,0,0,0,0
19,9,4,1,0,0,0,0,0,0,0,1,0,0,0,0
19,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0
19,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0
19,9,4,0,0,0,0,0,0,0,0,0,-1,0,0,0
19,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0
19,9,5,1,0,0,1,0,0,0,0,0,0,0,0,0
19,9,5,0,0,0,0,0,0,0,0,0,0,-1,0,0
19,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0
19,9,6,0,0,0,0,0,0,0,0,0,0,-1,0,0
19,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0
19,9,6,1,0,0,0,0,0,0,0,1,0,0,0,0
19,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0
20,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0
20,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,10,1,0,0,0,0,0,0,0,0,0,0,-1,0,0
20,10,2,1,0,0,0,0,0,0,1,0,0,0,0,0
20,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1
20,10,2,0,0,0,0,0,0,0,0,0,0,0,-1,0
20,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0
20,10,3,0,0,0,0,-1,0,0,0,0,0,0,0,0
20,10,3,1,0,0,0,0,0,0,1,0,0,0,0,0
20,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0
20,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0
20,10,4,0,0,0,0,0,0,0,0,0,0,0,0,1
